id,model_id,tag_type,tag_alias,tag,min_val,max_val,avg_exception,nan_exception,stuck_exception
15104,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
15105,1,pi_tag,f1_hffghfffg,292TC1701.PV,,,True,,
15106,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
15107,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
15108,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
15109,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
15110,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
15111,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
15112,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
15113,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
15114,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
15115,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
15116,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
15117,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
15118,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
15119,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
15120,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
15121,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
15122,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
15123,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
15124,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
15125,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
15126,1,pi_tag,a_train_pass_4_feed,292FC1404.PV,,,,,
15127,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
15128,1,pi_tag,heater_total_chrg,292FY2452.PV,,,,,
15129,1,pi_tag,f1_pass_1_outlet_temp,292TC1701.PV,,,True,,
15130,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
15131,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
15132,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
15133,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
15134,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
15135,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
15136,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
15137,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
15138,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
15139,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
15140,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
15141,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
15142,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
15143,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
15144,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
15145,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
15146,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
15147,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
15148,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
15149,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
15150,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
15151,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
15152,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
15153,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
15154,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
15155,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
15156,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
15157,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
15158,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
15159,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
15160,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
15161,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
15162,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
15163,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
15164,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
15165,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
15166,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
15167,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
